#LAMMPS

40000 atoms # the number of atoms
3 atom types # the number of atomic species


0.00 117.915448 xlo xhi #
0.00 117.068785 ylo yhi #
0.00 117.172598 zlo zhi #

Masses

1 132.90545  # Cs
2 207.2  # Pb
3 79.04 # Br


Atoms

490   1  53.062404250      22.950597750       5.775187060 
491   1  58.968157000      23.872940560       6.308608980 
492   1  64.807072910      23.181616600       5.849118280 
493   1  70.545178190      23.501167560       6.503004180 
494   1  76.176459150      23.427102820       6.113866250 
495   1  82.284693950      23.379256810       6.170112610 
496   1  87.981285920      23.320888650       5.801221170 
497   1  94.318642220      23.669034830       5.920153230 
498   1 100.231781190      22.830180790       5.411499950 
499   1 106.103319590      23.744778330       6.022303360 
500   1 112.016041140      22.808036060       5.558055920 
501   1 117.863196990      29.438179870       6.536566160 
502   1   5.824016830      28.896640740       5.635328200 
503   1  11.713855000      29.490364450       6.617342370 
504   1  17.573910790      28.869581460       5.805311430 
505   1  23.691192060      29.132316590       6.306485110 
506   1  29.508510580      28.851674620       6.170415380 
507   1  35.619624870      28.987483780       6.063154420 
508   1  41.356319880      28.779667950       5.939425070 
509   1  47.130141750      29.423375350       6.317472380 
510   1  53.044125000      28.923009310       5.590955640 
511   1  58.870428680      29.537344150       6.416967620 
512   1  65.092826850      29.287411660       5.739652120 
513   1  71.020662800      29.279673420       5.556225220 
514   1  77.166465460      29.259230860       5.584293210 
515   1  82.817207190      29.235479950       5.201523610 
516   1  88.818280420      29.163662930       5.312049480 
517   1  94.499635360      29.470352710       6.017456400 
518   1 100.173882350      28.894449210       5.308537110 
519   1 106.124980660      29.367603780       6.379801180 
520   1 111.980442470      28.866823320       5.497657200 
521   1 117.795362590      35.565040280       6.443692580 
522   1   5.806148150      34.572507710       5.975539780 
523   1  11.687865020      35.428210290       6.553688120 
524   1  17.661677620      34.795205320       5.935527210 
525   1  23.947710040      35.026343590       6.011589570 
526   1  29.720227770      35.024636720       5.721272660 
527   1  35.629539200      34.925488830       5.920920470 
528   1  41.368144450      34.986418450       5.606230260 
529   1  47.114234960      35.314620790       6.242557850 
530   1  53.045117850      34.698127200       5.795089990 
531   1  58.974302750      35.558912900       6.290466910 
532   1  64.906371870      35.016221820       5.919387860 
533   1  70.556672590      35.138511870       6.539712010 
534   1  76.195851530      35.121461970       6.154872670 
535   1  82.316099550      35.071597700       6.205283840 
536   1  87.967968550      35.042950970       5.836311080 
537   1  94.284640120      35.251003270       5.983519000 
538   1 100.291830810      34.617307590       5.648158130 
539   1 106.087785410      35.368411550       6.325262020 
540   1 111.928571470      34.532460820       5.871628310 
541   1 117.843424930      40.818263190       7.071897290 
542   1   5.787153150      40.793475040       5.988684430 
543   1  11.788906760      40.690892350       6.929253950 
544   1  17.495853120      41.112944050       5.976046670 
545   1  23.182969410      40.913006950       6.512708880 
546   1  29.177566730      40.900787310       6.590084980 
547   1  34.849054500      40.939010270       6.312608550 
548   1  41.022722930      40.872484760       6.356316970 
549   1  46.995701640      40.937905140       6.291802450 
550   1  53.073766590      40.631362870       5.546359750 
551   1  58.921585110      41.062438230       6.350593560 
552   1  65.032324440      40.880480560       5.712817720 
553   1  70.990679260      40.950396380       5.541469670 
554   1  77.213164700      40.954774750       5.596431350 
555   1  82.858659180      40.945882210       5.212081560 
556   1  88.958911100      40.894472620       5.339622530 
557   1  94.295092150      40.888818200       4.800534140 
558   1  99.746728920      40.865282690       5.478526430 
559   1 105.762470840      41.026715860       5.490050120 
560   1 111.875740630      40.843154350       5.844065800 
561   1 117.841366120      46.230741780       6.452494590 
562   1   5.846854920      47.094735170       5.981132190 
563   1  11.711189870      46.268812550       6.553559940 
564   1  17.657696790      47.081564930       5.968055730 
565   1  23.996979830      46.742411980       5.983037890 
566   1  29.703632350      46.764371740       5.665523580 
567   1  35.841105460      46.760639590       5.791186040 
568   1  41.516906570      46.743280630       5.542530550 
569   1  47.177421130      47.110319360       6.195751610 
570   1  53.056940050      46.481243220       5.800777550 
571   1  58.988546940      47.157868020       6.347405760 
572   1  64.813225740      46.586970390       5.940343470 
573   1  70.554460500      46.822868670       6.541256580 
574   1  76.208268030      46.808818070       6.136407910 
575   1  82.304359890      46.794449050       6.201514160 
576   1  87.949576100      46.774292150       5.840522730 
577   1  94.258132730      46.709834080       5.876288730 
